word,semantic_field,base,pattern,non_iconic,languages,urls
T-shirt,clothes,form_similarity,contour,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/14733.mp4
T-shirt,clothes,form_similarity,contour,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/14734.mp4
T-shirt,clothes,?&-,?&-,?&deixis,American Sign Language,https://media.spreadthesign.com/video/mp4/13/50852.mp4
T-shirt,clothes,form_similarity,contour,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/14738.mp4
T-shirt,clothes,form_similarity&form_similarity,tracing&contour,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/14736.mp4
T-shirt,clothes,form_similarity,tracing,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/177574.mp4
T-shirt,clothes,form_similarity,tracing,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/14732.mp4
T-shirt,clothes,-,-,nonicon,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/62396.mp4
T-shirt,clothes,form_similarity,contour,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/320768.mp4
T-shirt,clothes,form_similarity,tracing,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/14741.mp4
T-shirt,clothes,form_similarity&form_similarity,tracing&contour,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/14739.mp4
T-shirt,clothes,form_similarity,tracing,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/14735.mp4
T-shirt,clothes,form_similarity,contour,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/14737.mp4
T-shirt,clothes,form_similarity,tracing,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/14740.mp4
T-shirt,clothes,?&form_similarity,?&contour,?&,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/63244.mp4
T-shirt,clothes,form_similarity,tracing,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/57592.mp4
T-shirt,clothes,form_similarity,tracing,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/52370.mp4
