word,semantic_field,base,pattern,non_iconic,languages,urls
banana,food,assoc_action,handling,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/7187.mp4
banana,food,form_similarity,tracing,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/7188.mp4
banana,food,assoc_action,handling,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/58860.mp4
banana,food,assoc_action,handling,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/7194.mp4
banana,food,assoc_action,handling+object,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/7192.mp4
banana,food,assoc_action,handling,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/177364.mp4
banana,food,assoc_action,handling,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/7186.mp4
banana,food,assoc_action,handling,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/61523.mp4
banana,food,assoc_action,handling+object,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/225243.mp4
banana,food,assoc_action,handling,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/7190.mp4
banana,food,assoc_action,handling+object,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/7195.mp4
banana,food,assoc_action,handling,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/7191.mp4
banana,food,assoc_action,handling,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/7193.mp4
banana,food,assoc_action,handling,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/50669.mp4
banana,food,assoc_action,handling,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/103480.mp4
banana,food,assoc_action,handling,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/54881.mp4
banana,food,assoc_action,handling+object,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/64371.mp4
banana,food,assoc_action,handling,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/98036.mp4
