word,semantic_field,base,pattern,non_iconic,languages,urls
bear,animals,assoc_action,object,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/43598.mp4
bear,animals,parts/wholes,contour,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/35197.mp4
bear,animals,property/holder,handling,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/123615.mp4
bear,animals,assoc_action,?,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/50457.mp4
bear,animals,parts/wholes,contour,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/35193.mp4
bear,animals,assoc_action,?,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/152501.mp4
bear,animals,assoc_action,?,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/46570.mp4
bear,animals,assoc_action,?,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/59484.mp4
bear,animals,parts/wholes,contour,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/323855.mp4
bear,animals,-,-,dactyl,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/148424.mp4
bear,animals,assoc_action,?,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/318397.mp4
bear,animals,-&assoc_action,-&?,nonicon&,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/35194.mp4
bear,animals,-,-,nonicon,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/35196.mp4
bear,animals,-,-,nonicon,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/42097.mp4
bear,animals,-,-,nonicon,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/324146.mp4
bear,animals,assoc_action,?,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/101987.mp4
bear,animals,assoc_action,?,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/57029.mp4
bear,animals,parts/wholes,object,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/56574.mp4
bear,animals,assoc_action,?,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/52081.mp4
