word,semantic_field,base,pattern,non_iconic,languages,urls
bicycle,transport,assoc_action,object,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/14127.mp4
bicycle,transport,-,-,nonicon,French Sign Language,https://media.spreadthesign.com/video/mp4/10/14126.mp4
bicycle,transport,assoc_action,object,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/124309.mp4
bicycle,transport,assoc_action,object,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/14132.mp4
bicycle,transport,assoc_action,object,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/14130.mp4
bicycle,transport,assoc_action,object,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/152515.mp4
bicycle,transport,assoc_action,object,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/14136.mp4
bicycle,transport,parts/wholes+assoc_acion,object,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/59919.mp4
bicycle,transport,parts/wholes+assoc_acion,object,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/59915.mp4
bicycle,transport,assoc_action,object,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/225758.mp4
bicycle,transport,assoc_action,object,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/14135.mp4
bicycle,transport,assoc_action,object,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/14133.mp4
bicycle,transport,assoc_action,object,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/14129.mp4
bicycle,transport,assoc_action,object,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/14131.mp4
bicycle,transport,assoc_action,handling,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/311877.mp4
bicycle,transport,assoc_action,object,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/60875.mp4
bicycle,transport,assoc_action,object,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/63019.mp4
bicycle,transport,assoc_action,object,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/52617.mp4
