word,semantic_field,base,pattern,non_iconic,languages,urls
bird,animals,parts/wholes+assoc_action&assoc_action,object&?,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/13327.mp4
bird,animals,parts/wholes+assoc_action,object,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/13328.mp4
bird,animals,parts/wholes+assoc_action,object,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/124323.mp4
bird,animals,parts/wholes+assoc_action,object,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/13322.mp4
bird,animals,parts/wholes+assoc_action&assoc_action,object&?,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/13320.mp4
bird,animals,parts/wholes+assoc_action,object,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/152516.mp4
bird,animals,assoc_action,?,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/13326.mp4
bird,animals,assoc_action,?,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/59866.mp4
bird,animals,parts/wholes+assoc_action,object,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/228973.mp4
bird,animals,assoc_action,?,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/13325.mp4
bird,animals,parts/wholes+assoc_action&assoc_action,object&?,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/13323.mp4
bird,animals,parts/wholes+assoc_action,object,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/13319.mp4
bird,animals,parts/wholes+assoc_action,object,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/13321.mp4
bird,animals,parts/wholes+assoc_action,object,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/324153.mp4
bird,animals,assoc_action,?,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/102000.mp4
bird,animals,parts/wholes+assoc_action,object,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/58675.mp4
bird,animals,assoc_action,?,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/63095.mp4
bird,animals,parts/wholes+assoc_action,object,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/52105.mp4
