word,semantic_field,base,pattern,non_iconic,languages,urls
blouse,clothes,form_similarity,tracing,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/14753.mp4
blouse,clothes,parts/wholes,tracing,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/14752.mp4
blouse,clothes,form_similarity,tracing,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/124957.mp4
blouse,clothes,form_similarity,tracing,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/14757.mp4
blouse,clothes,parts/wholes,tracing,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/14755.mp4
blouse,clothes,parts/wholes,tracing,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/152522.mp4
blouse,clothes,parts/wholes,tracing,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/14761.mp4
blouse,clothes,form_similarity,tracing,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/58916.mp4
blouse,clothes,form_similarity,handling,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/237005.mp4
blouse,clothes,form_similarity,tracing,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/14760.mp4
blouse,clothes,parts/wholes&parts/wholes,tracing&tracing,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/53576.mp4
blouse,clothes,form_similarity,tracing,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/14754.mp4
blouse,clothes,form_similarity&parts/wholes,tracing&contour,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/14756.mp4
blouse,clothes,form_similarity,tracing,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/52248.mp4
blouse,clothes,form_similarity,tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/55261.mp4
blouse,clothes,parts/wholes,tracing,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/63124.mp4
blouse,clothes,parts/wholes,tracing,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/52368.mp4
