word,semantic_field,base,pattern,non_iconic,languages,urls
bracelet,clothes,form_similarity,object,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/176676.mp4
bracelet,clothes,form_similarity,object,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/158365.mp4
bracelet,clothes,form_similarity,object,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/125263.mp4
bracelet,clothes,form_similarity,tracing,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/77844.mp4
bracelet,clothes,form_similarity,object,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/57242.mp4
bracelet,clothes,form_similarity,tracing,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/149759.mp4
bracelet,clothes,form_similarity,tracing,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/90653.mp4
bracelet,clothes,form_similarity,tracing,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/248885.mp4
bracelet,clothes,form_similarity&form_similarity,object&tracing,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/141442.mp4
bracelet,clothes,form_similarity,tracing,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/199824.mp4
bracelet,clothes,form_similarity,tracing,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/112456.mp4
bracelet,clothes,form_similarity,tracing,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/115733.mp4
bracelet,clothes,form_similarity,tracing,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/326678.mp4
bracelet,clothes,form_similarity,object,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/217667.mp4
bracelet,clothes,form_similarity,tracing,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/84004.mp4
bracelet,clothes,form_similarity,tracing,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/159990.mp4
