word,semantic_field,base,pattern,non_iconic,languages,urls
carrot,food,assoc_action,object,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/198284.mp4
carrot,food,assoc_action,object,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/173830.mp4
carrot,food,assoc_action,handling,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/125824.mp4
carrot,food,form_similarity,tracing,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/51392.mp4
carrot,food,assoc_action,handling,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/258674.mp4
carrot,food,assoc_action,handling,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/55125.mp4
carrot,food,assoc_action,handling,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/206123.mp4
carrot,food,assoc_action,object,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/161546.mp4
carrot,food,assoc_action,object,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/76078.mp4
carrot,food,form_similarity&-,tracing&-,&nonicon,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/148378.mp4
carrot,food,assoc_action,handling,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/318550.mp4
carrot,food,assoc_action,object,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/142700.mp4
carrot,food,assoc_action,object,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/113405.mp4
carrot,food,assoc_action,object,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/112449.mp4
carrot,food,assoc_action,object,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/124133.mp4
carrot,food,assoc_action,handling,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/49442.mp4
carrot,food,assoc_action,object,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/217801.mp4
carrot,food,assoc_action,object,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/68171.mp4
carrot,food,assoc_action,object,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/84563.mp4
carrot,food,assoc_action,handling,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/160444.mp4
