word,semantic_field,base,pattern,non_iconic,languages,urls
cat,animals,parts/wholes,object,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/13448.mp4
cat,animals,parts/wholes,object,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/13446.mp4
cat,animals,parts/wholes,tracing,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/125842.mp4
cat,animals,parts/wholes,tracing,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/13443.mp4
cat,animals,assoc_action,object,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/13441.mp4
cat,animals,assoc_action,object+tracing,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/151813.mp4
cat,animals,parts/wholes,tracing,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/151812.mp4
cat,animals,parts/wholes,tracing,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/151811.mp4
cat,animals,parts/wholes,tracing,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/13450.mp4
cat,animals,parts/wholes,tracing,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/219859.mp4
cat,animals,parts/wholes,tracing,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/59265.mp4
cat,animals,parts/wholes,tracing,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/300837.mp4
cat,animals,assoc_action,object,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/13449.mp4
cat,animals,assoc_action,object,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/13444.mp4
cat,animals,parts/wholes,tracing,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/13440.mp4
cat,animals,parts/wholes,tracing,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/13442.mp4
cat,animals,parts/wholes,tracing,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/13445.mp4
cat,animals,parts/wholes,tracing,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/102026.mp4
cat,animals,assoc_action,object,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/102025.mp4
cat,animals,parts/wholes,tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/257979.mp4
cat,animals,assoc_action,object,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/197603.mp4
cat,animals,assoc_action,object,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/63485.mp4
cat,animals,parts/wholes,tracing,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/52135.mp4
