word,semantic_field,base,pattern,non_iconic,languages,urls
cloud,nature,form_similarity,tracing,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/17060.mp4
cloud,nature,form_similarity,tracing,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/17061.mp4
cloud,nature,form_similarity,tracing,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/51356.mp4
cloud,nature,form_similarity,tracing,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/17066.mp4
cloud,nature,form_similarity,tracing,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/17064.mp4
cloud,nature,form_similarity,tracing,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/151861.mp4
cloud,nature,form_similarity,tracing,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/17070.mp4
cloud,nature,form_similarity,tracing,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/58939.mp4
cloud,nature,form_similarity,tracing,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/208552.mp4
cloud,nature,form_similarity,tracing,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/318521.mp4
cloud,nature,form_similarity,tracing,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/17067.mp4
cloud,nature,form_similarity,tracing,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/17063.mp4
cloud,nature,form_similarity,tracing,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/17065.mp4
cloud,nature,form_similarity,tracing,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/17068.mp4
cloud,nature,form_similarity,tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/57887.mp4
cloud,nature,form_similarity,tracing,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/63122.mp4
cloud,nature,form_similarity,tracing,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/54367.mp4
