word,semantic_field,base,pattern,non_iconic,languages,urls
comb,instruments,assoc_action,object,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/13671.mp4
comb,instruments,assoc_action,object,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/50799.mp4
comb,instruments,assoc_action,handling,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/13678.mp4
comb,instruments,assoc_action,handling,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/13676.mp4
comb,instruments,assoc_action,handling,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/151878.mp4
comb,instruments,assoc_action,handling,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/13672.mp4
comb,instruments,assoc_action,object,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/59107.mp4
comb,instruments,assoc_action,object,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/149388.mp4
comb,instruments,assoc_action,handling,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/13674.mp4
comb,instruments,assoc_action,object,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/13679.mp4
comb,instruments,assoc_action,handling,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/13675.mp4
comb,instruments,assoc_action&form_similarity,object&tracing,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/13677.mp4
comb,instruments,assoc_action,object,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/13680.mp4
comb,instruments,assoc_action&assoc_action,handling&object,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/102045.mp4
comb,instruments,assoc_action,object,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/60981.mp4
comb,instruments,assoc_action,object,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/63031.mp4
comb,instruments,assoc_action,handling,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/52537.mp4
