word,semantic_field,base,pattern,non_iconic,languages,urls
cow,animals,parts/wholes,object,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/13308.mp4
cow,animals,parts/wholes,object,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/13311.mp4
cow,animals,parts/wholes,object,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/47502.mp4
cow,animals,parts/wholes,object,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/13316.mp4
cow,animals,parts/wholes,object,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/13314.mp4
cow,animals,parts/wholes,tracing+object,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/151925.mp4
cow,animals,parts/wholes,object,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/13309.mp4
cow,animals,parts/wholes,object,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/60592.mp4
cow,animals,parts/wholes,tracing,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/60590.mp4
cow,animals,parts/wholes,object,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/239657.mp4
cow,animals,parts/wholes,object,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/13310.mp4
cow,animals,parts/wholes,object,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/13317.mp4
cow,animals,parts/wholes,object,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/13313.mp4
cow,animals,parts/wholes,object,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/13315.mp4
cow,animals,parts/wholes,object,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/13318.mp4
cow,animals,parts/wholes,object,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/102058.mp4
cow,animals,parts/wholes,object,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/55672.mp4
cow,animals,parts/wholes,object,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/63097.mp4
cow,animals,parts/wholes,tracing,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/53031.mp4
