word,semantic_field,base,pattern,non_iconic,languages,urls
door,house,assoc_action,object,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/172.mp4
door,house,assoc_action,object,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/173.mp4
door,house,assoc_action,object,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/58457.mp4
door,house,assoc_action,object,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/178.mp4
door,house,assoc_action,object,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/176.mp4
door,house,assoc_action,object,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/183133.mp4
door,house,assoc_action,object,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/171.mp4
door,house,assoc_action,object,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/86574.mp4
door,house,form_similarity,object,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/258334.mp4
door,house,form_similarity,object,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/174.mp4
door,house,assoc_action,object,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/179.mp4
door,house,assoc_action,object,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/175.mp4
door,house,assoc_action,object,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/177.mp4
door,house,assoc_action,object,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/180.mp4
door,house,assoc_action,object,,Greek Sign Language,https://media.spreadthesign.com/video/mp4/38/218810.mp4
door,house,assoc_action,object,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/222261.mp4
door,house,assoc_action,object,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/74505.mp4
door,house,assoc_action,object,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/70670.mp4
door,house,assoc_action,object,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/152730.mp4
