word,semantic_field,base,pattern,non_iconic,languages,urls
elephant,animals,parts/wholes,tracing,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/13356.mp4
elephant,animals,parts/wholes,object,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/13357.mp4
elephant,animals,parts/wholes,object+tracing,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/47580.mp4
elephant,animals,parts/wholes,tracing,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/13351.mp4
elephant,animals,parts/wholes,object+tracing,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/13349.mp4
elephant,animals,parts/wholes,tracing,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/201274.mp4
elephant,animals,parts/wholes,tracing,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/13355.mp4
elephant,animals,parts/wholes,tracing,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/60070.mp4
elephant,animals,parts/wholes,object,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/314556.mp4
elephant,animals,parts/wholes,tracing,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/318582.mp4
elephant,animals,parts/wholes,tracing,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/13354.mp4
elephant,animals,parts/wholes,tracing,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/53745.mp4
elephant,animals,parts/wholes,tracing,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/13348.mp4
elephant,animals,parts/wholes,tracing,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/13350.mp4
elephant,animals,parts/wholes,tracing,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/13353.mp4
elephant,animals,parts/wholes,tracing,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/102104.mp4
elephant,animals,parts/wholes,tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/60942.mp4
elephant,animals,parts/wholes,tracing,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/63004.mp4
elephant,animals,parts/wholes,tracing,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/52107.mp4
