word,semantic_field,base,pattern,non_iconic,languages,urls
fire,nature,form_similarity,object,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/9030.mp4
fire,nature,form_similarity,object,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/9023.mp4
fire,nature,form_similarity,object,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/74987.mp4
fire,nature,form_similarity,object,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/9027.mp4
fire,nature,form_similarity,object,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/9025.mp4
fire,nature,form_similarity,object,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/177680.mp4
fire,nature,form_similarity,object,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/9022.mp4
fire,nature,form_similarity,object,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/61879.mp4
fire,nature,form_similarity,object,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/224218.mp4
fire,nature,form_similarity,object,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/9021.mp4
fire,nature,form_similarity,object,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/9028.mp4
fire,nature,form_similarity,object,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/9024.mp4
fire,nature,form_similarity,object,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/9026.mp4
fire,nature,form_similarity,tracing,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/9029.mp4
fire,nature,form_similarity,object,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/103658.mp4
fire,nature,form_similarity,object,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/295153.mp4
fire,nature,form_similarity,object,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/66900.mp4
fire,nature,form_similarity,object,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/160116.mp4
