word,semantic_field,base,pattern,non_iconic,languages,urls
flower,nature,property/holder+assoc_action,object,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/13929.mp4
flower,nature,property/holder+assoc_action,object,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/13921.mp4
flower,nature,property/holder+assoc_action,object,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/47811.mp4
flower,nature,property/holder+assoc_action,handling,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/13926.mp4
flower,nature,property/holder+assoc_action,object,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/13924.mp4
flower,nature,property/holder+assoc_action,object,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/178763.mp4
flower,nature,assoc_action,object,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/13930.mp4
flower,nature,property/holder+assoc_action,object,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/59309.mp4
flower,nature,property/holder,?,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/223520.mp4
flower,nature,property/holder+assoc_action,object,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/318448.mp4
flower,nature,property/holder+assoc_action,object,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/13927.mp4
flower,nature,property/holder+assoc_action,object,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/13923.mp4
flower,nature,property/holder+assoc_action,object,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/13925.mp4
flower,nature,property/holder,object,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/13928.mp4
flower,nature,property/holder+assoc_action,object,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/102179.mp4
flower,nature,property/holder+assoc_action,object,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/60934.mp4
flower,nature,assoc_action,object,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/56786.mp4
flower,nature,assoc_action,object,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/52366.mp4
