word,semantic_field,base,pattern,non_iconic,languages,urls
forest,nature,form_similarity,object,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/819.mp4
forest,nature,form_similarity,object,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/820.mp4
forest,nature,form_similarity,object,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/58459.mp4
forest,nature,form_similarity,object,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/825.mp4
forest,nature,form_similarity,object,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/823.mp4
forest,nature,form_similarity,object,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/254525.mp4
forest,nature,-,-,nonicon,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/86591.mp4
forest,nature,form_similarity,object,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/209408.mp4
forest,nature,form_similarity,object,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/821.mp4
forest,nature,-&form_similarity,-&object,nonicon&,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/826.mp4
forest,nature,-,-,nonicon,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/822.mp4
forest,nature,form_similarity,object,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/824.mp4
forest,nature,form_similarity,object,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/334267.mp4
forest,nature,form_similarity,object,,Greek Sign Language,https://media.spreadthesign.com/video/mp4/38/218832.mp4
forest,nature,form_similarity,object,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/222315.mp4
forest,nature,form_similarity,object,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/77048.mp4
forest,nature,form_similarity,object,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/70546.mp4
forest,nature,form_similarity,object,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/152773.mp4
