word,semantic_field,base,pattern,non_iconic,languages,urls
fork,instruments,assoc_action,object,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/9123.mp4
fork,instruments,form_similarity,object,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/9125.mp4
fork,instruments,assoc_action,object,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/74994.mp4
fork,instruments,assoc_action,object,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/9130.mp4
fork,instruments,assoc_action,object,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/9128.mp4
fork,instruments,assoc_action,object,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/177700.mp4
fork,instruments,assoc_action,object,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/9124.mp4
fork,instruments,assoc_action,object,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/62061.mp4
fork,instruments,assoc_action,object,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/214746.mp4
fork,instruments,assoc_action,object,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/9126.mp4
fork,instruments,assoc_action,object,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/9131.mp4
fork,instruments,assoc_action,object,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/9127.mp4
fork,instruments,assoc_action,object,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/9129.mp4
fork,instruments,assoc_action,object,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/332535.mp4
fork,instruments,form_similarity,object,,Greek Sign Language,https://media.spreadthesign.com/video/mp4/8/9122.mp4
fork,instruments,assoc_action,object,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/103667.mp4
fork,instruments,assoc_action,object,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/55008.mp4
fork,instruments,assoc_action,object,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/64563.mp4
fork,instruments,assoc_action,object,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/160138.mp4
