word,semantic_field,base,pattern,non_iconic,languages,urls
fox,animals,parts/wholes,tracing,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/40580.mp4
fox,animals,parts/wholes,tracing,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/40579.mp4
fox,animals,parts/wholes,tracing,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/73310.mp4
fox,animals,parts/wholes,contour,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/184804.mp4
fox,animals,parts/wholes,tracing,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/90294.mp4
fox,animals,parts/wholes&parts/wholes,tracing&tracing,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/40576.mp4
fox,animals,parts/wholes&-,tracing&-,-&nonicon,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/198731.mp4
fox,animals,parts/wholes,tracing,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/46157.mp4
fox,animals,parts/wholes,object,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/88866.mp4
fox,animals,parts/wholes,tracing,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/88865.mp4
fox,animals,parts/wholes,tracing,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/156067.mp4
fox,animals,parts/wholes,tracing,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/325145.mp4
fox,animals,parts/wholes&parts/wholes,tracing&tracing,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/40581.mp4
fox,animals,parts/wholes,object,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/40577.mp4
fox,animals,parts/wholes,tracing,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/42976.mp4
fox,animals,?&parts/wholes,?&tracing,?&,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/40578.mp4
fox,animals,parts/wholes,tracing,,Greek Sign Language,https://media.spreadthesign.com/video/mp4/38/194001.mp4
fox,animals,parts/wholes,tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/63405.mp4
fox,animals,parts/wholes,tracing,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/67855.mp4
fox,animals,parts/wholes,tracing,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/159323.mp4
