word,semantic_field,base,pattern,non_iconic,languages,urls
frog,animals,assoc_action,?,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/13598.mp4
frog,animals,assoc_action,object,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/13601.mp4
frog,animals,assoc_action,object,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/47832.mp4
frog,animals,?,?,?,British Sign Language,https://media.spreadthesign.com/video/mp4/1/13595.mp4
frog,animals,assoc_action,object,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/13593.mp4
frog,animals,assoc_action,?,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/192159.mp4
frog,animals,assoc_action,object,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/13599.mp4
frog,animals,?,?,?,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/60470.mp4
frog,animals,assoc_action,object,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/60475.mp4
frog,animals,assoc_action,object,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/323047.mp4
frog,animals,assoc_action,object,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/321018.mp4
frog,animals,assoc_action,object,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/13600.mp4
frog,animals,?,?,?,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/13596.mp4
frog,animals,assoc_action,?,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/13592.mp4
frog,animals,assoc_action,object,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/13594.mp4
frog,animals,assoc_action,object,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/13597.mp4
frog,animals,-,-,dactyl,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/102273.mp4
frog,animals,assoc_action,?,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/60863.mp4
frog,animals,assoc_action,?,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/56764.mp4
frog,animals,?,?,?,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/52101.mp4
