word,semantic_field,base,pattern,non_iconic,languages,urls
giraffe,animals,parts/wholes,tracing,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/13473.mp4
giraffe,animals,parts/wholes,tracing,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/13471.mp4
giraffe,animals,-,-,dactyl,American Sign Language,https://media.spreadthesign.com/video/mp4/13/50894.mp4
giraffe,animals,parts/wholes,tracing,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/13477.mp4
giraffe,animals,form_similarity,object,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/13475.mp4
giraffe,animals,parts/wholes,tracing,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/192275.mp4
giraffe,animals,parts/wholes,tracing,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/13472.mp4
giraffe,animals,parts/wholes,tracing,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/65035.mp4
giraffe,animals,parts/wholes,tracing,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/155110.mp4
giraffe,animals,form_similarity,object,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/320820.mp4
giraffe,animals,parts/wholes&form_similarity,tracing&object,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/13480.mp4
giraffe,animals,parts/wholes,tracing,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/13478.mp4
giraffe,animals,parts/wholes,tracing,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/13474.mp4
giraffe,animals,parts/wholes,tracing,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/13476.mp4
giraffe,animals,parts/wholes,tracing,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/13479.mp4
giraffe,animals,-,-,dactyl,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/102294.mp4
giraffe,animals,parts/wholes,tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/61001.mp4
giraffe,animals,parts/wholes,tracing,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/56749.mp4
giraffe,animals,parts/wholes,tracing,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/52112.mp4
