word,semantic_field,base,pattern,non_iconic,languages,urls
hammer,instruments,assoc_action,handling,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/56.mp4
hammer,instruments,assoc_action,object,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/59.mp4
hammer,instruments,assoc_action,handling,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/311338.mp4
hammer,instruments,assoc_action,handling,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/53.mp4
hammer,instruments,assoc_action,handling,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/51.mp4
hammer,instruments,assoc_action,object,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/274322.mp4
hammer,instruments,assoc_action,handling,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/57.mp4
hammer,instruments,assoc_action,handling,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/90876.mp4
hammer,instruments,assoc_action,handling,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/175405.mp4
hammer,instruments,assoc_action,handling,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/318433.mp4
hammer,instruments,assoc_action,handling,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/58.mp4
hammer,instruments,form_similarity&assoc_action,object&handling,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/54.mp4
hammer,instruments,assoc_action,handling,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/50.mp4
hammer,instruments,assoc_action,handling,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/52.mp4
hammer,instruments,assoc_action,handling,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/50348.mp4
hammer,instruments,assoc_action,handling,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/222335.mp4
hammer,instruments,assoc_action,handling,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/75050.mp4
hammer,instruments,assoc_action,handling,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/70230.mp4
hammer,instruments,assoc_action,handling,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/152722.mp4
