word,semantic_field,base,pattern,non_iconic,languages,urls
hat,clothes,assoc_action,?,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/14863.mp4
hat,clothes,-,-,deixis,French Sign Language,https://media.spreadthesign.com/video/mp4/10/14861.mp4
hat,clothes,-,-,deixis,American Sign Language,https://media.spreadthesign.com/video/mp4/13/51154.mp4
hat,clothes,assoc_action,handling,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/14857.mp4
hat,clothes,assoc_action,handling,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/14855.mp4
hat,clothes,assoc_action,handling,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/192306.mp4
hat,clothes,assoc_action,handling,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/14862.mp4
hat,clothes,-&form_similarity,-&tracing,deixis&,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/59219.mp4
hat,clothes,assoc_action,handling,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/226126.mp4
hat,clothes,assoc_action,handling,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/14860.mp4
hat,clothes,assoc_action,handling,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/14858.mp4
hat,clothes,assoc_action,handling,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/14854.mp4
hat,clothes,-,-,deixis,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/14856.mp4
hat,clothes,-,-,deixis,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/14859.mp4
hat,clothes,-,-,deixis,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/55559.mp4
hat,clothes,-,-,deixis,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/56794.mp4
hat,clothes,-&assoc_action,-&handling,deixis&,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/52599.mp4
