word,semantic_field,base,pattern,non_iconic,languages,urls
house,house,form_similarity,contour,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/105095.mp4
house,house,form_similarity,contour,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/5844.mp4
house,house,form_similarity,tracing,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/58463.mp4
house,house,form_similarity,tracing,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/5841.mp4
house,house,form_similarity,tracing,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/5839.mp4
house,house,form_similarity,tracing,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/274333.mp4
house,house,form_similarity,tracing,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/5836.mp4
house,house,form_similarity&-,contour&-,&nonicon,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/86566.mp4
house,house,form_similarity,contour,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/223461.mp4
house,house,form_similarity,contour,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/5835.mp4
house,house,-,-,nonicon,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/5842.mp4
house,house,form_similarity,tracing,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/5838.mp4
house,house,form_similarity,contour,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/5840.mp4
house,house,form_similarity,tracing,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/5843.mp4
house,house,form_similarity,contour,,Greek Sign Language,https://media.spreadthesign.com/video/mp4/38/213269.mp4
house,house,form_similarity,tracing,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/222350.mp4
house,house,form_similarity,contour,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/80583.mp4
house,house,form_similarity,tracing,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/70538.mp4
house,house,form_similarity,tracing,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/235280.mp4
