word,semantic_field,base,pattern,non_iconic,languages,urls
island,nature,form_similarity,contour,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/227385.mp4
island,nature,form_similarity,tracing,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/186975.mp4
island,nature,form_similarity,tracing,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/58539.mp4
island,nature,form_similarity,tracing,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/249428.mp4
island,nature,form_similarity,contour,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/55727.mp4
island,nature,form_similarity,contour,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/223729.mp4
island,nature,form_similarity,contour,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/190277.mp4
island,nature,form_similarity,contour,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/76599.mp4
island,nature,-,-,dactyl,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/170181.mp4
island,nature,form_similarity,contour,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/335013.mp4
island,nature,-,-,nonicon,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/306169.mp4
island,nature,?,?,?,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/16156.mp4
island,nature,form_similarity,contour,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/157671.mp4
island,nature,form_similarity&form_similarity,contour&contour,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/54116.mp4
island,nature,form_similarity,contour,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/54115.mp4
island,nature,form_similarity,contour,,Greek Sign Language,https://media.spreadthesign.com/video/mp4/38/213118.mp4
island,nature,-&form_similarity,-&contour,nonicon&,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/220633.mp4
island,nature,?,?,?,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/60978.mp4
island,nature,form_similarity,contour,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/84691.mp4
island,nature,form_similarity,contour,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/156318.mp4
