word,semantic_field,base,pattern,non_iconic,languages,urls
kettle,instruments,assoc_action,object,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/9696.mp4
kettle,instruments,-,-,dactyl,American Sign Language,https://media.spreadthesign.com/video/mp4/13/91509.mp4
kettle,instruments,assoc_action,object,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/9692.mp4
kettle,instruments,form_similarity&assoc_action,tracing&handling,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/9697.mp4
kettle,instruments,?&assoc_action,?&object,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/61582.mp4
kettle,instruments,?,?,?,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/9698.mp4
kettle,instruments,assoc_action,object,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/9689.mp4
kettle,instruments,assoc_action,object,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/9691.mp4
kettle,instruments,?,?,?,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/9694.mp4
kettle,instruments,form_similarity&form_similarity,object&tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/55934.mp4
kettle,instruments,?,?,?,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/64607.mp4
kettle,instruments,assoc_action,handling,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/160277.mp4
