word,semantic_field,base,pattern,non_iconic,languages,urls
key,instruments,assoc_action,handling,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/228353.mp4
key,instruments,assoc_action,handling,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/158717.mp4
key,instruments,assoc_action,object,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/89834.mp4
key,instruments,assoc_action,handling,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/250290.mp4
key,instruments,assoc_action,handling,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/179522.mp4
key,instruments,assoc_action,handling,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/223934.mp4
key,instruments,assoc_action,handling,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/172693.mp4
key,instruments,assoc_action,handling,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/95716.mp4
key,instruments,assoc_action,handling,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/148399.mp4
key,instruments,assoc_action,handling,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/318360.mp4
key,instruments,assoc_action,handling,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/138387.mp4
key,instruments,assoc_action,handling,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/99682.mp4
key,instruments,assoc_action,handling,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/2486.mp4
key,instruments,assoc_action&form_similarity,handling&object,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/157654.mp4
key,instruments,assoc_action,handling,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/67098.mp4
key,instruments,assoc_action,object,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/67099.mp4
key,instruments,assoc_action,handling,,Greek Sign Language,https://media.spreadthesign.com/video/mp4/38/213091.mp4
key,instruments,assoc_action,handling,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/220677.mp4
key,instruments,assoc_action,handling,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/81287.mp4
key,instruments,assoc_action,handling,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/85308.mp4
key,instruments,assoc_action,object,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/265183.mp4
