word,semantic_field,base,pattern,non_iconic,languages,urls
knife,instruments,assoc_action,object,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/848.mp4
knife,instruments,assoc_action,object,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/840.mp4
knife,instruments,assoc_action,object,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/311211.mp4
knife,instruments,assoc_action,handling,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/845.mp4
knife,instruments,assoc_action,object,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/843.mp4
knife,instruments,assoc_action,object,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/183432.mp4
knife,instruments,assoc_action,object,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/841.mp4
knife,instruments,assoc_action,object,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/86601.mp4
knife,instruments,assoc_action,object,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/208869.mp4
knife,instruments,assoc_action,object,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/839.mp4
knife,instruments,assoc_action,object,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/846.mp4
knife,instruments,assoc_action,object,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/842.mp4
knife,instruments,assoc_action,object,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/844.mp4
knife,instruments,assoc_action,object,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/332419.mp4
knife,instruments,assoc_action,object,,Greek Sign Language,https://media.spreadthesign.com/video/mp4/38/218861.mp4
knife,instruments,assoc_action,object,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/222364.mp4
knife,instruments,assoc_action,object,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/77053.mp4
knife,instruments,assoc_action,object,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/26/77053.mp4
knife,instruments,assoc_action,object,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/235277.mp4
