word,semantic_field,base,pattern,non_iconic,languages,urls
lake,nature,form_similarity,contour,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/31655.mp4
lake,nature,form_similarity,contour,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/31656.mp4
lake,nature,-&form_similarity&dactyl,-&contour&dactyl,nonicon&&dactyl,American Sign Language,https://media.spreadthesign.com/video/mp4/13/92700.mp4
lake,nature,form_similarity&form_similarity,tracing&contour,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/31660.mp4
lake,nature,-&form_similarity,-&contour,nonicon&,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/31661.mp4
lake,nature,form_similarity,contour,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/178812.mp4
lake,nature,form_similarity,contour,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/45559.mp4
lake,nature,form_similarity,contour,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/73949.mp4
lake,nature,-&form_similarity,-&tracing,nonicon&,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/174221.mp4
lake,nature,form_similarity,tracing,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/318602.mp4
lake,nature,-&form_similarity,-&tracing,nonicon&,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/31658.mp4
lake,nature,-&form_similarity,-&tracing,nonicon&,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/31657.mp4
lake,nature,form_similarity,tracing,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/31662.mp4
lake,nature,-,-,nonicon,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/31659.mp4
lake,nature,form_similarity,tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/82077.mp4
lake,nature,form_similarity,tracing,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/62650.mp4
lake,nature,-&form_similarity,-&tracing,nonicon&,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/57714.mp4
