word,semantic_field,base,pattern,non_iconic,languages,urls
lemon,food,property/holder&form_similarity,-&tracing,nonicon&,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/9795.mp4
lemon,food,form_similarity,tracing,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/9796.mp4
lemon,food,-,-,nonicon,American Sign Language,https://media.spreadthesign.com/video/mp4/13/59326.mp4
lemon,food,-,-,nonicon,British Sign Language,https://media.spreadthesign.com/video/mp4/1/9801.mp4
lemon,food,assoc_action,handling,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/9799.mp4
lemon,food,assoc_action,handling,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/177910.mp4
lemon,food,form_similarity,object,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/176434.mp4
lemon,food,assoc_action,handling,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/63999.mp4
lemon,food,-,-,nonicon,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/156038.mp4
lemon,food,assoc_action,handling,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/321654.mp4
lemon,food,-,-,nonicon,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/9802.mp4
lemon,food,assoc_action,handling,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/9798.mp4
lemon,food,-,-,nonicon,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/9800.mp4
lemon,food,-,-,nonicon,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/9803.mp4
lemon,food,assoc_action,handling,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/103996.mp4
lemon,food,-,-,nonicon,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/55001.mp4
lemon,food,form_similarity,tracing,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/66823.mp4
lemon,food,form_similarity,object,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/161066.mp4
