word,semantic_field,base,pattern,non_iconic,languages,urls
lightning,nature,form_similarity,tracing,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/1678.mp4
lightning,nature,form_similarity,tracing,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/1671.mp4
lightning,nature,form_similarity,tracing,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/311179.mp4
lightning,nature,form_similarity,tracing,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/1675.mp4
lightning,nature,form_similarity,tracing,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/1673.mp4
lightning,nature,form_similarity,tracing,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/183447.mp4
lightning,nature,form_similarity,tracing,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/1669.mp4
lightning,nature,form_similarity,tracing,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/90907.mp4
lightning,nature,form_similarity,tracing,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/175370.mp4
lightning,nature,form_similarity,tracing,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/135710.mp4
lightning,nature,form_similarity,tracing,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/1676.mp4
lightning,nature,form_similarity,tracing,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/1672.mp4
lightning,nature,form_similarity,tracing,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/256212.mp4
lightning,nature,form_similarity,tracing,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/332427.mp4
lightning,nature,form_similarity,tracing,,Greek Sign Language,https://media.spreadthesign.com/video/mp4/38/218868.mp4
lightning,nature,form_similarity&?,tracing&?,&?,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/222372.mp4
lightning,nature,form_similarity,tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/75049.mp4
lightning,nature,form_similarity,tracing,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/70692.mp4
lightning,nature,form_similarity,tracing,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/235266.mp4
