word,semantic_field,base,pattern,non_iconic,languages,urls
lion,animals,parts/wholes,tracing,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/43708.mp4
lion,animals,assoc_action,?,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/35188.mp4
lion,animals,parts/wholes,tracing,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/48561.mp4
lion,animals,assoc_action,?,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/50520.mp4
lion,animals,parts/wholes,tracing,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/35191.mp4
lion,animals,assoc_action,?,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/198302.mp4
lion,animals,parts/wholes,tracing,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/46661.mp4
lion,animals,parts/wholes,tracing,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/59321.mp4
lion,animals,assoc_action,?,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/155487.mp4
lion,animals,parts/wholes,tracing,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/336662.mp4
lion,animals,parts/wholes,tracing,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/35192.mp4
lion,animals,parts/wholes,tracing,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/35190.mp4
lion,animals,parts/wholes,tracing,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/42174.mp4
lion,animals,parts/wholes,tracing,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/309978.mp4
lion,animals,parts/wholes,tracing,,Greek Sign Language,https://media.spreadthesign.com/video/mp4/38/212424.mp4
lion,animals,assoc_action&parts/wholes,?&tracing,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/102484.mp4
lion,animals,parts/wholes,tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/57015.mp4
lion,animals,parts/wholes,tracing,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/60400.mp4
lion,animals,parts/wholes,tracing,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/52138.mp4
