word,semantic_field,base,pattern,non_iconic,languages,urls
meat,food,-,-,nonicon,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/10060.mp4
meat,food,-,-,deixis,French Sign Language,https://media.spreadthesign.com/video/mp4/10/10058.mp4
meat,food,-,-,deixis,American Sign Language,https://media.spreadthesign.com/video/mp4/13/75029.mp4
meat,food,-,-,nonicon,British Sign Language,https://media.spreadthesign.com/video/mp4/1/10065.mp4
meat,food,assoc_action,object,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/10063.mp4
meat,food,-&form_similarity,-&tracing,nonicon&,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/177956.mp4
meat,food,-,-,deixis,German Sign Language,https://media.spreadthesign.com/video/mp4/9/10059.mp4
meat,food,?,?,?,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/64032.mp4
meat,food,-,-,deixis,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/223443.mp4
meat,food,-,-,nonicon,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/10061.mp4
meat,food,-,-,deixis,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/10066.mp4
meat,food,-,-,deixis,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/10062.mp4
meat,food,-,-,deixis,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/10064.mp4
meat,food,-,-,nonicon,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/10067.mp4
meat,food,-,-,deixis,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/104020.mp4
meat,food,-,-,nonicon,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/55872.mp4
meat,food,-,-,deixis,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/64690.mp4
meat,food,-,-,deixis,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/160287.mp4
