word,semantic_field,base,pattern,non_iconic,languages,urls
moon,nature,form_similarity,tracing,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/17639.mp4
moon,nature,form_similarity,object,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/17638.mp4
moon,nature,form_similarity,object,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/48600.mp4
moon,nature,form_similarity,tracing,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/17644.mp4
moon,nature,form_similarity,?,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/17642.mp4
moon,nature,form_similarity,?,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/198347.mp4
moon,nature,form_similarity,tracing,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/17640.mp4
moon,nature,form_similarity,tracing,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/59298.mp4
moon,nature,form_similarity,tracing,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/302687.mp4
moon,nature,-,-,dactyl,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/175366.mp4
moon,nature,form_similarity,object,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/17647.mp4
moon,nature,form_similarity,tracing,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/17645.mp4
moon,nature,-,-,nonicon,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/17641.mp4
moon,nature,form_similarity,tracing,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/17643.mp4
moon,nature,form_similarity,tracing,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/332723.mp4
moon,nature,form_similarity,tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/57894.mp4
moon,nature,form_similarity,tracing,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/60380.mp4
moon,nature,form_similarity,tracing,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/54604.mp4
