word,semantic_field,base,pattern,non_iconic,languages,urls
motorbike,transport,assoc_action,handling,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/14124.mp4
motorbike,transport,assoc_action,handling,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/14123.mp4
motorbike,transport,assoc_action,handling,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/48603.mp4
motorbike,transport,assoc_action,handling,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/14120.mp4
motorbike,transport,assoc_action,handling,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/14118.mp4
motorbike,transport,assoc_action,handling,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/180996.mp4
motorbike,transport,assoc_action,handling,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/14125.mp4
motorbike,transport,assoc_action,handling,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/59439.mp4
motorbike,transport,assoc_action,handling,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/14116.mp4
motorbike,transport,assoc_action,handling,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/14121.mp4
motorbike,transport,assoc_action,handling,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/14117.mp4
motorbike,transport,assoc_action,handling,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/14119.mp4
motorbike,transport,assoc_action,handling,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/14122.mp4
motorbike,transport,assoc_action,handling,,Greek Sign Language,https://media.spreadthesign.com/video/mp4/38/210704.mp4
motorbike,transport,assoc_action,handling,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/102588.mp4
motorbike,transport,assoc_action,handling,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/57877.mp4
motorbike,transport,assoc_action,handling,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/60426.mp4
motorbike,transport,assoc_action,handling,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/54163.mp4
