word,semantic_field,base,pattern,non_iconic,languages,urls
mountain,nature,form_similarity,tracing,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/16407.mp4
mountain,nature,form_similarity,tracing,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/16415.mp4
mountain,nature,form_similarity,object+tracing,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/48604.mp4
mountain,nature,form_similarity,tracing,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/16412.mp4
mountain,nature,form_similarity,tracing,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/16410.mp4
mountain,nature,form_similarity,tracing,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/198351.mp4
mountain,nature,form_similarity,tracing,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/198352.mp4
mountain,nature,form_similarity,tracing,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/16406.mp4
mountain,nature,form_similarity,tracing,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/59112.mp4
mountain,nature,form_similarity,tracing,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/318464.mp4
mountain,nature,form_similarity,tracing,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/16413.mp4
mountain,nature,form_similarity,tracing,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/16409.mp4
mountain,nature,form_similarity,tracing,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/16411.mp4
mountain,nature,-,-,nonicon,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/332673.mp4
mountain,nature,form_similarity,tracing,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/102589.mp4
mountain,nature,form_similarity,tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/56127.mp4
mountain,nature,form_similarity,tracing,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/60430.mp4
mountain,nature,form_similarity,tracing,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/52464.mp4
