word,semantic_field,base,pattern,non_iconic,languages,urls
pear,food,form_similarity,tracing,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/10618.mp4
pear,food,form_similarity,tracing,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/10610.mp4
pear,food,form_similarity,tracing,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/10610.mp4
pear,food,form_similarity&-,tracing&-,&dactyl,American Sign Language,https://media.spreadthesign.com/video/mp4/13/91558.mp4
pear,food,-,-,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/10614.mp4
pear,food,form_similarity,object+handling,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/10612.mp4
pear,food,form_similarity,tracing+contour,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/178058.mp4
pear,food,form_similarity,tracing,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/10617.mp4
pear,food,-,-,nonicon,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/64008.mp4
pear,food,-,-,dactyl,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/210340.mp4
pear,food,form_similarity,tracing,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/336246.mp4
pear,food,?,?,?,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/10615.mp4
pear,food,form_similarity,tracing,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/10611.mp4
pear,food,-,-,nonicon,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/10613.mp4
pear,food,form_similarity,tracing,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/10616.mp4
pear,food,form_similarity,tracing,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/104075.mp4
pear,food,form_similarity,tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/54947.mp4
pear,food,form_similarity,tracing,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/67006.mp4
pear,food,form_similarity,object,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/160443.mp4
