word,semantic_field,base,pattern,non_iconic,languages,urls
plane,transport,assoc_action,object,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/100759.mp4
plane,transport,assoc_action,object,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/24436.mp4
plane,transport,assoc_action,object,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/72317.mp4
plane,transport,assoc_action,object,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/75484.mp4
plane,transport,assoc_action,object,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/276591.mp4
plane,transport,assoc_action,object,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/179078.mp4
plane,transport,assoc_action,object,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/72406.mp4
plane,transport,assoc_action,object,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/92385.mp4
plane,transport,assoc_action,object,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/208863.mp4
plane,transport,assoc_action,object,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/24432.mp4
plane,transport,assoc_action,object,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/24434.mp4
plane,transport,parts/wholes,object,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/24437.mp4
plane,transport,form_similarity,object,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/24438.mp4
plane,transport,assoc_action,object,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/99143.mp4
plane,transport,assoc_action,object,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/180858.mp4
plane,transport,parts/wholes,object,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/180857.mp4
plane,transport,assoc_action,object,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/57018.mp4
plane,transport,assoc_action,object,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/61323.mp4
plane,transport,assoc_action,object,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/58095.mp4
