word,semantic_field,base,pattern,non_iconic,languages,urls
river,nature,form_similarity,tracing,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/16981.mp4
river,nature,form_similarity,tracing,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/16982.mp4
river,nature,-&form_similarity,-&tracing,nonicon&,American Sign Language,https://media.spreadthesign.com/video/mp4/13/50769.mp4
river,nature,form_similarity,tracing,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/16987.mp4
river,nature,-&form_similarity,-&tracing,nonicon&,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/16985.mp4
river,nature,form_similarity,tracing,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/201135.mp4
river,nature,form_similarity,tracing,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/16980.mp4
river,nature,assoc_action,object,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/59936.mp4
river,nature,-&form_similarity,-&tracing,nonicon&,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/234429.mp4
river,nature,form_similarity,tracing,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/16983.mp4
river,nature,-,-,nonicon,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/16988.mp4
river,nature,-&form_similarity,-&tracing,nonicon&,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/16984.mp4
river,nature,form_similarity,tracing,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/16986.mp4
river,nature,assoc_action,object,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/16989.mp4
river,nature,-,-,dactyl,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/102825.mp4
river,nature,form_similarity,tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/60829.mp4
river,nature,form_similarity,tracing,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/60642.mp4
river,nature,form_similarity,tracing,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/54680.mp4
