word,semantic_field,base,pattern,non_iconic,languages,urls
room,house,form_similarity,tracing,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/18285.mp4
room,house,-,-,nonicon,French Sign Language,https://media.spreadthesign.com/video/mp4/10/18294.mp4
room,house,form_similarity,tracing,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/62796.mp4
room,house,form_similarity,tracing,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/18291.mp4
room,house,-&form_similatiry,-&tracing,nonicon&,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/18289.mp4
room,house,?,?,?,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/201142.mp4
room,house,form_similarity,tracing,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/18286.mp4
room,house,form_similarity,tracing,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/59720.mp4
room,house,form_similarity,tracing,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/18287.mp4
room,house,form_similarity,tracing,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/53741.mp4
room,house,form_similarity,tracing,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/18288.mp4
room,house,form_similarity,object,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/18290.mp4
room,house,form_similarity,tracing,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/332805.mp4
room,house,form_similarity,contour,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/102826.mp4
room,house,form_similarity,tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/55756.mp4
room,house,form_similarity,tracing,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/60704.mp4
room,house,form_similarity,contour,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/52607.mp4
