word,semantic_field,base,pattern,non_iconic,languages,urls
sand,nature,assoc_action,handling,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/2455.mp4
sand,nature,assoc_action,handling,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/2464.mp4
sand,nature,assoc_action,handling,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/310897.mp4
sand,nature,assoc_action,handling,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/2460.mp4
sand,nature,assoc_action,handling,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/2458.mp4
sand,nature,assoc_action,handling,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/183801.mp4
sand,nature,assoc_action,handling,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/2456.mp4
sand,nature,assoc_action,handling,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/86665.mp4
sand,nature,-&assoc_action,-&handling,dactyl&,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/208823.mp4
sand,nature,assoc_action,handling,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/2463.mp4
sand,nature,-,-,nonicon,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/2461.mp4
sand,nature,-,-,nonicon,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/2457.mp4
sand,nature,assoc_action,handling,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/2459.mp4
sand,nature,?,?,?,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/334158.mp4
sand,nature,assoc_action,handling,,Greek Sign Language,https://media.spreadthesign.com/video/mp4/38/218917.mp4
sand,nature,assoc_action,handling,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/222467.mp4
sand,nature,assoc_action,handling,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/77081.mp4
sand,nature,assoc_action,handling,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/70526.mp4
sand,nature,assoc_action,handling,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/265344.mp4
