word,semantic_field,base,pattern,non_iconic,languages,urls
sausage,food,form_similarity,tracing,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/11394.mp4
sausage,food,form_similarity,tracing,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/59571.mp4
sausage,food,form_similarity,tracing,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/11391.mp4
sausage,food,form_similarity,tracing,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/11389.mp4
sausage,food,form_similarity,tracing,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/178078.mp4
sausage,food,form_similarity,tracing,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/123884.mp4
sausage,food,form_similarity,tracing,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/22/143788.mp4
sausage,food,form_similarity,tracing,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/214618.mp4
sausage,food,form_similarity,tracing,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/320658.mp4
sausage,food,-&form_similarity,-&tracing,nonicon&,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/135440.mp4
sausage,food,form_similarity,tracing,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/54278.mp4
sausage,food,form_similarity,tracing,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/11388.mp4
sausage,food,form_similarity,tracing,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/11390.mp4
sausage,food,-,-,nonicon,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/11393.mp4
sausage,food,form_similarity,tracing,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/104223.mp4
sausage,food,form_similarity,tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/55012.mp4
sausage,food,form_similarity,tracing,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/66953.mp4
sausage,food,form_similarity,tracing,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/160945.mp4
