word,semantic_field,base,pattern,non_iconic,languages,urls
sea,nature,form_similarity,tracing,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/16336.mp4
sea,nature,form_similarity,tracing,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/16337.mp4
sea,nature,form_similarity,tracing,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/50781.mp4
sea,nature,form_similarity,tracing,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/16341.mp4
sea,nature,form_similarity,tracing,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/16339.mp4
sea,nature,form_similarity,tracing,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/201244.mp4
sea,nature,form_similarity,tracing,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/16335.mp4
sea,nature,-,-,nonicon,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/59440.mp4
sea,nature,-&form_similarity,-&tracing,nonicon&,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/165800.mp4
sea,nature,form_similarity,tracing,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/318498.mp4
sea,nature,form_similarity,tracing,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/16344.mp4
sea,nature,?,?,?,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/16342.mp4
sea,nature,-,-,nonicon,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/16338.mp4
sea,nature,-,-,nonicon,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/16340.mp4
sea,nature,form_similarity,tracing,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/332669.mp4
sea,nature,assoc_action,handling,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/102849.mp4
sea,nature,form_similarity,tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/56120.mp4
sea,nature,form_similarity,tracing,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/60672.mp4
sea,nature,form_similarity,tracing,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/54338.mp4
