word,semantic_field,base,pattern,non_iconic,languages,urls
ship,transport,assoc_action,contour,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/28181.mp4
ship,transport,form_similarity,tracing,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/28184.mp4
ship,transport,assoc_action,object,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/92741.mp4
ship,transport,assoc_action,contour,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/28180.mp4
ship,transport,assoc_action,contour,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/28179.mp4
ship,transport,assoc_action,contour,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/178895.mp4
ship,transport,assoc_action,contour,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/45547.mp4
ship,transport,assoc_action,contour,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/74325.mp4
ship,transport,assoc_action,contour,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/208509.mp4
ship,transport,assoc_action,contour,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/48036.mp4
ship,transport,assoc_action,contour,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/4/28185.mp4
ship,transport,assoc_action,contour,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/28185.mp4
ship,transport,assoc_action,tracing,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/44391.mp4
ship,transport,assoc_action,contour,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/62263.mp4
ship,transport,assoc_action,contour,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/182631.mp4
ship,transport,assoc_action,contour,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/82137.mp4
ship,transport,form_similarity,contour,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/62673.mp4
ship,transport,assoc_action,contour,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/2/62263.mp4
