word,semantic_field,base,pattern,non_iconic,languages,urls
skirt,clothes,form_similarity,tracing,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/14812.mp4
skirt,clothes,form_similarity,tracing,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/14811.mp4
skirt,clothes,form_similarity,tracing,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/94023.mp4
skirt,clothes,form_similarity,tracing,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/14807.mp4
skirt,clothes,form_similarity,tracing,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/14805.mp4
skirt,clothes,form_similarity,tracing,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/177400.mp4
skirt,clothes,form_similarity,tracing,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/14813.mp4
skirt,clothes,form_similarity,tracing,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/60017.mp4
skirt,clothes,form_similarity,tracing,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/250502.mp4
skirt,clothes,form_similarity,tracing,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/318565.mp4
skirt,clothes,form_similarity,tracing,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/14810.mp4
skirt,clothes,form_similarity,tracing,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/14808.mp4
skirt,clothes,form_similarity,tracing,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/14804.mp4
skirt,clothes,form_similarity,tracing,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/14806.mp4
skirt,clothes,form_similarity,tracing,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/14809.mp4
skirt,clothes,form_similarity,tracing,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/102893.mp4
skirt,clothes,form_similarity,tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/63235.mp4
skirt,clothes,form_similarity,tracing,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/60715.mp4
skirt,clothes,form_similarity,tracing,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/54222.mp4
