word,semantic_field,base,pattern,non_iconic,languages,urls
sky,nature,- ,-,deixis,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/100408.mp4
sky,nature,-,-,deixis,British Sign Language,https://media.spreadthesign.com/video/mp4/1/141092.mp4
sky,nature,-,-,deixis,French Sign Language,https://media.spreadthesign.com/video/mp4/10/158626.mp4
sky,nature,-,-,deixis,American Sign Language,https://media.spreadthesign.com/video/mp4/13/94025.mp4
sky,nature,-,-,deixis,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/55463.mp4
sky,nature,-,-,deixis,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/177402.mp4
sky,nature,-,-,deixis,German Sign Language,https://media.spreadthesign.com/video/mp4/9/149804.mp4
sky,nature,-,-,deixis,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/76123.mp4
sky,nature,-,-,deixis,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/148391.mp4
sky,nature,-,-,deixis,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/142572.mp4
sky,nature,?&-,?&-,&deixis,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/136242.mp4
sky,nature,?,?,?,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/228863.mp4
sky,nature,-,-,deixis,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/136996.mp4
sky,nature,-,-,deixis,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/62234.mp4
sky,nature,?&-,?&-,&deixis,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/102895.mp4
sky,nature,-,-,deixis,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/83486.mp4
sky,nature,-,-,deixis,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/84805.mp4
sky,nature,-,-,deixis,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/186664.mp4
