word,semantic_field,base,pattern,non_iconic,languages,urls
socks,clothes,form_similarity,?,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/14975.mp4
socks,clothes,assoc_action,handling,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/14974.mp4
socks,clothes,-,-,nonicon,American Sign Language,https://media.spreadthesign.com/video/mp4/13/65921.mp4
socks,clothes,assoc_action,handling,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/14981.mp4
socks,clothes,form_similarity,?,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/14979.mp4
socks,clothes,assoc_action,handling,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/177428.mp4
socks,clothes,assoc_action,handling,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/14976.mp4
socks,clothes,form_similarity,?,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/59984.mp4
socks,clothes,assoc_action,handling,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/14977.mp4
socks,clothes,-,-,nonicon,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/14982.mp4
socks,clothes,form_similarity,?,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/14978.mp4
socks,clothes,form_similarity,?,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/14980.mp4
socks,clothes,assoc_action,handling,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/14983.mp4
socks,clothes,form_similarity,?,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/102906.mp4
socks,clothes,form_similarity,?,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/60933.mp4
socks,clothes,form_similarity,?,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/57557.mp4
socks,clothes,form_similarity,?,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/54378.mp4
