word,semantic_field,base,pattern,non_iconic,languages,urls
spider,animals,assoc_action,object,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/40838.mp4
spider,animals,assoc_action,object,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/40835.mp4
spider,animals,assoc_action,object,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/224278.mp4
spider,animals,assoc_action,object,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/40834.mp4
spider,animals,assoc_action,object,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/198723.mp4
spider,animals,assoc_action,object,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/123786.mp4
spider,animals,assoc_action,object,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/89407.mp4
spider,animals,assoc_action,object,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/208815.mp4
spider,animals,assoc_action,object,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/322287.mp4
spider,animals,assoc_action,object,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/283066.mp4
spider,animals,assoc_action,object,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/40836.mp4
spider,animals,assoc_action,object,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/40833.mp4
spider,animals,assoc_action,object,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/42464.mp4
spider,animals,assoc_action,object,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/40837.mp4
spider,animals,assoc_action,object,,Greek Sign Language,https://media.spreadthesign.com/video/mp4/38/194092.mp4
spider,animals,assoc_action,object,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/235985.mp4
spider,animals,assoc_action,object,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/67574.mp4
spider,animals,assoc_action,object,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/159281.mp4
