word,semantic_field,base,pattern,non_iconic,languages,urls
sun,nature,assoc_action,tracing,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/17058.mp4
sun,nature,assoc_action,contour,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/17049.mp4
sun,nature,assoc_action,contour,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/50839.mp4
sun,nature,assoc_action,tracing,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/17053.mp4
sun,nature,-,-,dactyl,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/17051.mp4
sun,nature,assoc_action,?,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/177553.mp4
sun,nature,parts/wholes,tracing,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/17057.mp4
sun,nature,assoc_action,contour,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/60072.mp4
sun,nature,form_similarity,object,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/60081.mp4
sun,nature,-,-,dactyl,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/219012.mp4
sun,nature,form_similarity,tracing,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/17056.mp4
sun,nature,parts/wholes,tracing,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/17054.mp4
sun,nature,form_similarity,tracing,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/17050.mp4
sun,nature,assoc_action,tracing,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/17052.mp4
sun,nature,assoc_action,tracing,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/334368.mp4
sun,nature,assoc_action,contour,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/102949.mp4
sun,nature,form_similarity,tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/59306.mp4
sun,nature,-&parts/wholes,-&tracing,deixis&,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/57583.mp4
sun,nature,form_similarity,tracing,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/54432.mp4
