word,semantic_field,base,pattern,non_iconic,languages,urls
table,house,form_similarity,tracing,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/12047.mp4
table,house,form_similarity,tracing,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/12039.mp4
table,house,assoc_action,handling,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/59607.mp4
table,house,form_similarity,tracing,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/12043.mp4
table,house,form_similarity,tracing,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/12042.mp4
table,house,form_similarity,tracing,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/178178.mp4
table,house,form_similarity,tracing,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/12046.mp4
table,house,form_similarity,tracing,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/62008.mp4
table,house,form_similarity,tracing,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/258305.mp4
table,house,form_similarity,tracing,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/12040.mp4
table,house,form_similarity,tracing,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/12044.mp4
table,house,form_similarity,tracing,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/12041.mp4
table,house,form_similarity,tracing,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/44165.mp4
table,house,form_similarity,tracing,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/332575.mp4
table,house,form_similarity,tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/87467.mp4
table,house,form_similarity,tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/55862.mp4
table,house,form_similarity,tracing,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/64681.mp4
table,house,form_similarity,tracing,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/98058.mp4
