word,semantic_field,base,pattern,non_iconic,languages,urls
tie,clothes,form_similarity,tracing,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/14763.mp4
tie,clothes,form_similarity,tracing,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/14765.mp4
tie,clothes,assoc_action,handling,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/51135.mp4
tie,clothes,form_similarity,tracing,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/14770.mp4
tie,clothes,form_similarity,tracing,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/14768.mp4
tie,clothes,form_similarity,object,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/201615.mp4
tie,clothes,assoc_action,handling,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/14764.mp4
tie,clothes,form_similarity,tracing,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/62397.mp4
tie,clothes,form_similarity,tracing,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/155433.mp4
tie,clothes,form_similarity,tracing,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/14766.mp4
tie,clothes,assoc_action,handling,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/14771.mp4
tie,clothes,form_similarity,contour,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/14767.mp4
tie,clothes,assoc_action,handling,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/14769.mp4
tie,clothes,assoc_action,handling,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/102989.mp4
tie,clothes,form_similarity,tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/56126.mp4
tie,clothes,assoc_action,handling,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/66785.mp4
tie,clothes,form_similarity,tracing,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/52353.mp4
