word,semantic_field,base,pattern,non_iconic,languages,urls
tooth brush,instruments,assoc_action,object,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/13657.mp4
tooth brush,instruments,assoc_action,object,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/13659.mp4
tooth brush,instruments,assoc_action,object,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/50912.mp4
tooth brush,instruments,assoc_action,handling,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/13654.mp4
tooth brush,instruments,assoc_action,object,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/13652.mp4
tooth brush,instruments,assoc_action,object,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/177657.mp4
tooth brush,instruments,assoc_action,handling,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/13658.mp4
tooth brush,instruments,assoc_action,object,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/62454.mp4
tooth brush,instruments,assoc_action,handling,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/227658.mp4
tooth brush,instruments,assoc_action,handling,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/13660.mp4
tooth brush,instruments,assoc_action,handling,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/13655.mp4
tooth brush,instruments,assoc_action,object,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/13651.mp4
tooth brush,instruments,assoc_action,object,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/13653.mp4
tooth brush,instruments,assoc_action,object,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/13656.mp4
tooth brush,instruments,assoc_action,object,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/103007.mp4
tooth brush,instruments,form_similarity&assoc_action,object&handling,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/60950.mp4
tooth brush,instruments,assoc_action,object,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/57630.mp4
tooth brush,instruments,assoc_action,object,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/54592.mp4
