word,semantic_field,base,pattern,non_iconic,languages,urls
tree,nature,form_similarity,object,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/39508.mp4
tree,nature,form_similarity,object,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/39507.mp4
tree,nature,form_similarity,object,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/187615.mp4
tree,nature,form_similarity,object,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/42355.mp4
tree,nature,form_similarity,object,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/39512.mp4
tree,nature,form_similarity,tracing,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/198701.mp4
tree,nature,form_similarity,object,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/46117.mp4
tree,nature,form_similarity,object,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/88738.mp4
tree,nature,form_similarity,object,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/258576.mp4
tree,nature,form_similarity,object,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/318334.mp4
tree,nature,form_similarity,object,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/132633.mp4
tree,nature,form_similarity,object,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/39509.mp4
tree,nature,form_similarity,object,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/39511.mp4
tree,nature,form_similarity,object,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/67846.mp4
tree,nature,form_similarity,object,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/42403.mp4
tree,nature,form_similarity,object,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/63385.mp4
tree,nature,form_similarity,object,,Greek Sign Language,https://media.spreadthesign.com/video/mp4/38/194099.mp4
tree,nature,form_similarity,tracing,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/39510.mp4
tree,nature,form_similarity,object,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/159395.mp4
