word,semantic_field,base,pattern,non_iconic,languages,urls
trousers,clothes,form_similarity,tracing,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/14784.mp4
trousers,clothes,assoc_action,handling,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/14783.mp4
trousers,clothes,form_similarity,contour,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/65929.mp4
trousers,clothes,assoc_action,handling,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/14790.mp4
trousers,clothes,assoc_action,handling,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/14788.mp4
trousers,clothes,assoc_action,handling,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/177684.mp4
trousers,clothes,assoc_action,handling,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/14785.mp4
trousers,clothes,form_similarity,tracing,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/62451.mp4
trousers,clothes,?,?,?,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/62453.mp4
trousers,clothes,form_similarity,tracing,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/319444.mp4
trousers,clothes,assoc_action,handling,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/14786.mp4
trousers,clothes,assoc_action,handling,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/14791.mp4
trousers,clothes,-,-,deixis,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/14787.mp4
trousers,clothes,form_similarity,tracing,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/14789.mp4
trousers,clothes,form_similarity,tracing,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/14792.mp4
trousers,clothes,form_similarity,tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/55255.mp4
trousers,clothes,form_similarity,tracing,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/65124.mp4
trousers,clothes,assoc_action,handling,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/52381.mp4
