word,semantic_field,base,pattern,non_iconic,languages,urls
truck,transport,form_similarity&form_similarity&assoc_action,contour&tracing&contour,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/25551.mp4
truck,transport,assoc_action&form_similarity,handling&tracing,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/25558.mp4
truck,transport,-,-,nonicon,American Sign Language,https://media.spreadthesign.com/video/mp4/13/58448.mp4
truck,transport,assoc_action,handling,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/25555.mp4
truck,transport,assoc_action,contour,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/25553.mp4
truck,transport,assoc_action&form_similarity,handling&tracing,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/180787.mp4
truck,transport,assoc_action&form_similarity,handling&tracing,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/72458.mp4
truck,transport,form_similarity,tracing,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/92243.mp4
truck,transport,assoc_action,handling,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/92242.mp4
truck,transport,-,-,nonicon,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/320936.mp4
truck,transport,-,-,nonicon,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/25559.mp4
truck,transport,assoc_action&-,handling&-,&deixis,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/25552.mp4
truck,transport,assoc_action,handling,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/25556.mp4
truck,transport,-&form_similarity,-&tracing,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/25557.mp4
truck,transport,form_similarity,tracing,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/25554.mp4
truck,transport,assoc_action&form_similarity,handling&contour,,Greek Sign Language,https://media.spreadthesign.com/video/mp4/38/210699.mp4
truck,transport,assoc_action&form_similarity,handling&tracing,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/182101.mp4
truck,transport,assoc_action&form_similarity,handling&tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/75925.mp4
truck,transport,form_similarity,object,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/65330.mp4
