word,semantic_field,base,pattern,non_iconic,languages,urls
underground,transport,assoc_action,object+contour,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/16363.mp4
underground,transport,assoc_action,object+contour,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/16365.mp4
underground,transport,assoc_action,object+contour,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/63598.mp4
underground,transport,assoc_action,object+contour,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/16359.mp4
underground,transport,assoc_action,object+contour,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/16357.mp4
underground,transport,form_similarity&assoc_action,tracing&object+contour,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/201718.mp4
underground,transport,-,-,nonicon,German Sign Language,https://media.spreadthesign.com/video/mp4/9/16364.mp4
underground,transport,?&assoc_action,?&object+contour,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/62425.mp4
underground,transport,?&assoc_action,?&object+contour,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/62430.mp4
underground,transport,form_similarity,object+contour,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/302780.mp4
underground,transport,form_similarity&assoc_action,tracing&object+contour,,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/16362.mp4
underground,transport,assoc_action,object+contour,,Portuguese Sign Language,https://media.spreadthesign.com/video/mp4/6/16360.mp4
underground,transport,assoc_action,object+contour,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/16356.mp4
underground,transport,assoc_action,object+contour,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/16358.mp4
underground,transport,assoc_action,object+contour,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/332671.mp4
underground,transport,assoc_action&?,object+contour&?,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/103031.mp4
underground,transport,assoc_action,object+contour,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/58279.mp4
underground,transport,form_similarity&-,tracing&-,&deixis,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/253803.mp4
underground,transport,assoc_action,object+contour,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/54187.mp4
