word,semantic_field,base,pattern,non_iconic,languages,urls
wardrobe,house,form_similarity,tracing,,Russian Sign Language,https://media.spreadthesign.com/video/mp4/12/1855.mp4
wardrobe,house,assoc_action,handling,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/1846.mp4
wardrobe,house,form_similatrity&parts/wholes,tracing&object,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/308829.mp4
wardrobe,house,assoc_action,handling,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/1850.mp4
wardrobe,house,assoc_action,handling,,Spanish Sign Language,https://media.spreadthesign.com/video/mp4/5/1848.mp4
wardrobe,house,assoc_action,handling,,Italian Sign Language,https://media.spreadthesign.com/video/mp4/17/183099.mp4
wardrobe,house,form_similarity&form_similarity,tracing&tracing,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/1853.mp4
wardrobe,house,form_similarity,tracing,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/86681.mp4
wardrobe,house,-&assoc_action,-&obiect,nonicon&,Turkish Sign Language,https://media.spreadthesign.com/video/mp4/11/1854.mp4
wardrobe,house,form_similarity&assoc_action,tracing&handling,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/1847.mp4
wardrobe,house,-&form_similarity,-&tracing,deixis&,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/1849.mp4
wardrobe,house,form_similarity&assoc_action,tracing&handling,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/1852.mp4
wardrobe,house,form_similarity&?,tracing&?,&?,Greek Sign Language,https://media.spreadthesign.com/video/mp4/38/218961.mp4
wardrobe,house,form_similarity&assoc_action,tracing&handling,,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/222545.mp4
wardrobe,house,form_similarity&form_similarity,?&tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/74504.mp4
wardrobe,house,-&form_similarity,-&tracing,deixis&,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/70611.mp4
wardrobe,house,form_similarity&assoc_action,tracing&handling,,Icelandic Sign Language,https://media.spreadthesign.com/video/mp4/21/152706.mp4
