word,semantic_field,base,pattern,non_iconic,languages,urls
wave,nature,form_similarity,tracing,,French Sign Language,https://media.spreadthesign.com/video/mp4/10/22247.mp4
wave,nature,form_similarity,tracing,,American Sign Language,https://media.spreadthesign.com/video/mp4/13/69461.mp4
wave,nature,form_similarity,tracing,,British Sign Language,https://media.spreadthesign.com/video/mp4/1/22244.mp4
wave,nature,form_similarity,tracing,,German Sign Language,https://media.spreadthesign.com/video/mp4/9/41453.mp4
wave,nature,form_similarity,tracing,,Polish Sign Language,https://media.spreadthesign.com/video/mp4/19/106373.mp4
wave,nature,form_similarity,tracing,,Brazilian Sign Language,https://media.spreadthesign.com/video/mp4/14/173048.mp4
wave,nature,form_similarity,tracing,,Czech Sign Language,https://media.spreadthesign.com/video/mp4/4/22243.mp4
wave,nature,form_similarity,object+tracing,,Lithuanian Sign Language,https://media.spreadthesign.com/video/mp4/3/22242.mp4
wave,nature,form_similarity,tracing,,Swedish Sign Language,https://media.spreadthesign.com/video/mp4/2/22245.mp4
wave,nature,form_similarity,tracing,,Greek Sign Language,https://media.spreadthesign.com/video/mp4/38/212647.mp4
wave,nature,form_similarity&-,tracing&-,&dactyl,Romanian Sign Language,https://media.spreadthesign.com/video/mp4/30/103439.mp4
wave,nature,form_similarity,tracing,,Latvian Sign Language,https://media.spreadthesign.com/video/mp4/26/81796.mp4
wave,nature,form_similarity,tracing,,Estonian Sign Language,https://media.spreadthesign.com/video/mp4/25/86922.mp4
